subj,trial,block,sex,age,date,stim,stim_order,segment,segment_time,pitch,response,rt
3,20,1,m,20,23-May-2016,Sub3_Trial20_1,1,2,2,-16.316957000000002,False,2.115
3,20,1,m,20,23-May-2016,Sub3_Trial20_1,1,3,3,5.376396,False,2.115
3,20,1,m,20,23-May-2016,Sub3_Trial20_1,1,4,4,-63.304277,False,2.115
3,20,1,m,20,23-May-2016,Sub3_Trial20_1,1,5,5,118.551265,False,2.115
3,20,1,m,20,23-May-2016,Sub3_Trial20_1,1,6,6,71.179593,False,2.115
3,21,1,m,20,23-May-2016,Sub3_Trial21_0,0,0,0,47.353509,True,1.798
3,21,1,m,20,23-May-2016,Sub3_Trial21_0,0,1,1,83.5727,True,1.798
3,21,1,m,20,23-May-2016,Sub3_Trial21_0,0,2,2,-103.594255,True,1.798
3,21,1,m,20,23-May-2016,Sub3_Trial21_0,0,3,3,-105.725418,True,1.798
3,21,1,m,20,23-May-2016,Sub3_Trial21_0,0,4,4,-45.455556,True,1.798
3,21,1,m,20,23-May-2016,Sub3_Trial21_0,0,5,5,5.458857999999999,True,1.798
3,21,1,m,20,23-May-2016,Sub3_Trial21_0,0,6,6,8.515337,True,1.798
3,21,1,m,20,23-May-2016,Sub3_Trial21_1,1,0,0,-57.00443,False,1.798
3,21,1,m,20,23-May-2016,Sub3_Trial21_1,1,1,1,-104.527355,False,1.798
3,21,1,m,20,23-May-2016,Sub3_Trial21_1,1,2,2,52.123110999999994,False,1.798
3,21,1,m,20,23-May-2016,Sub3_Trial21_1,1,3,3,-27.131079,False,1.798
